season,league_key,trade_id,timestamp,from_manager,to_manager,player_name,player_position,player_key,current_rank,preseason_rank,roster_pct
2005,113.l.232958,122,1115568399,Chris Gaul,Weazy,Odalis Perez,SP,113.p.6088,-,134,-
2005,113.l.232958,122,1115568399,Weazy,Chris Gaul,Jeromy Burnitz,OF,113.p.5061,-,242,-
2006,147.l.322066,204,1150970626,The Wizard,-- hidden --,Tom Glavine,SP,147.p.4122,-,65,-
2006,147.l.322066,204,1150970626,The Wizard,-- hidden --,Chris Ray,RP,147.p.7577,-,95,-
2006,147.l.322066,204,1150970626,-- hidden --,The Wizard,Rickie Weeks,2B,147.p.7213,-,92,-
2006,147.l.322066,144,1148809753,Dan,M Z,Roy Halladay,SP,147.p.6134,-,33,-
2006,147.l.322066,144,1148809753,M Z,Dan,Miguel Tejada,SS,147.p.5888,-,9,-
2006,147.l.322066,102,1147167916,-- hidden --,The Wizard,Matt Holliday,OF,147.p.7311,-,41,-
2006,147.l.322066,102,1147167916,The Wizard,-- hidden --,Mark Buehrle,SP,147.p.6525,-,89,-
2007,171.l.159408,270,1186513886,Dan,Kevo,José Reyes,SS,171.p.7066,-,2,99
2007,171.l.159408,270,1186513886,Kevo,Dan,Erik Bedard,SP,171.p.6910,-,136,65
2007,171.l.159408,140,1178589734,-- hidden --,The Wizard,Aramis Ramirez,3B,171.p.6014,-,30,96
2007,171.l.159408,140,1178589734,The Wizard,-- hidden --,Chris Young,SP,171.p.7412,-,118,89
2007,171.l.159408,140,1178589734,The Wizard,-- hidden --,Todd Jones,RP,171.p.5082,-,185,85
2007,171.l.159408,49,1175362453,The Wizard,DiZzY,Hideki Matsui,OF,171.p.7042,-,88,91
2007,171.l.159408,49,1175362453,The Wizard,DiZzY,Richie Sexson,1B,171.p.5931,-,106,47
2007,171.l.159408,49,1175362453,DiZzY,The Wizard,Johnny Damon,OF,171.p.5484,-,80,79
2007,171.l.159408,42,1174857024,The Wizard,Kevo,Bobby Abreu,OF,171.p.5698,-,50,94
2007,171.l.159408,42,1174857024,Kevo,The Wizard,Jimmy Rollins,SS,171.p.6419,-,12,98
2007,171.l.159408,40,1174846838,Weazy,The Wizard,Bobby Abreu,OF,171.p.5698,-,50,94
2007,171.l.159408,40,1174846838,Weazy,The Wizard,Bartolo Colón,SP,171.p.5763,-,157,38
2007,171.l.159408,40,1174846838,The Wizard,Weazy,Chone Figgins,"2B,3B,OF",171.p.6986,-,114,90
2007,171.l.159408,40,1174846838,The Wizard,Weazy,Brett Myers,"SP,RP",171.p.6864,-,150,79
2007,171.l.159408,36,1174666510,The Wizard,M Z,Jeremy Bonderman,SP,171.p.7106,-,108,70
2007,171.l.159408,36,1174666510,The Wizard,M Z,Aaron Harang,SP,171.p.6936,-,115,92
2007,171.l.159408,36,1174666510,M Z,The Wizard,Jason Bay,OF,171.p.7143,-,35,81
2007,171.l.159408,34,1174611291,The Wizard,M Z,Aaron Harang,SP,171.p.6936,-,115,92
2007,171.l.159408,34,1174611291,The Wizard,M Z,Dan Haren,SP,171.p.7172,-,75,92
2007,171.l.159408,34,1174611291,M Z,The Wizard,Jason Bay,OF,171.p.7143,-,35,81
2008,195.l.242126,316,1212730460,Kevo,-- hidden --,Justin Upton,OF,195.p.8080,-,187,35
2008,195.l.242126,316,1212730460,-- hidden --,Kevo,Brandon Lyon,RP,195.p.6775,-,158,57
2008,195.l.242126,301,1212187293,The Wizard,-- hidden --,Nick Markakis,OF,195.p.7707,-,47,92
2008,195.l.242126,301,1212187293,The Wizard,-- hidden --,Jair Jurrjens,SP,195.p.8091,-,188,62
2008,195.l.242126,301,1212187293,-- hidden --,The Wizard,Manny Ramirez,OF,195.p.5132,-,29,98
2008,195.l.242126,201,1209917174,The Wizard,Dan,Brad Lidge,RP,195.p.6913,-,125,93
2008,195.l.242126,201,1209917174,The Wizard,Dan,Chris Young,SP,195.p.7412,-,110,70
