season,week,league_key,league_name,ties,manager_a,manager_a_record,manager_b,manager_b_record
2005,1,113.l.199100,Heritage League,0,Scott,6,--hidden--,4
2005,1,113.l.199100,Heritage League,0,The Wizard,6,-- hidden --,4
2005,1,113.l.199100,Heritage League,0,-- hidden --,7,M Z,3
2005,1,113.l.199100,Heritage League,0,Dan,3,Nikolai Khabibulin,7
2005,1,113.l.199100,Heritage League,1,Kevo,2,Chris Gaul,7
2005,2,113.l.199100,Heritage League,1,Scott,4,The Wizard,5
2005,2,113.l.199100,Heritage League,1,--hidden--,5,Chris Gaul,4
2005,2,113.l.199100,Heritage League,0,-- hidden --,5,-- hidden --,5
2005,2,113.l.199100,Heritage League,1,Dan,3,M Z,6
2005,2,113.l.199100,Heritage League,1,Kevo,6,Nikolai Khabibulin,3
2005,3,113.l.199100,Heritage League,1,Scott,2,-- hidden --,7
2005,3,113.l.199100,Heritage League,1,--hidden--,2,The Wizard,7
2005,3,113.l.199100,Heritage League,0,Dan,6,-- hidden --,4
2005,3,113.l.199100,Heritage League,0,Kevo,5,M Z,5
2005,3,113.l.199100,Heritage League,1,Nikolai Khabibulin,5,Chris Gaul,4
2005,4,113.l.199100,Heritage League,1,Scott,5,Dan,4
2005,4,113.l.199100,Heritage League,1,--hidden--,4,-- hidden --,5
2005,4,113.l.199100,Heritage League,1,The Wizard,4,Chris Gaul,5
2005,4,113.l.199100,Heritage League,0,Kevo,9,-- hidden --,1
2005,4,113.l.199100,Heritage League,1,Nikolai Khabibulin,1,M Z,8
2005,5,113.l.199100,Heritage League,0,Scott,6,Kevo,4
2005,5,113.l.199100,Heritage League,0,--hidden--,2,Dan,8
2005,5,113.l.199100,Heritage League,1,The Wizard,4,-- hidden --,5
2005,5,113.l.199100,Heritage League,0,Nikolai Khabibulin,9,-- hidden --,1
2005,5,113.l.199100,Heritage League,0,M Z,2,Chris Gaul,8
2005,6,113.l.199100,Heritage League,1,Scott,6,Nikolai Khabibulin,3
2005,6,113.l.199100,Heritage League,1,--hidden--,4,Kevo,5
2005,6,113.l.199100,Heritage League,2,The Wizard,6,Dan,2
2005,6,113.l.199100,Heritage League,1,-- hidden --,5,Chris Gaul,4
2005,6,113.l.199100,Heritage League,2,M Z,5,-- hidden --,3
2005,7,113.l.199100,Heritage League,0,Scott,5,M Z,5
2005,7,113.l.199100,Heritage League,1,--hidden--,6,Nikolai Khabibulin,3
2005,7,113.l.199100,Heritage League,2,The Wizard,8,Kevo,0
2005,7,113.l.199100,Heritage League,2,-- hidden --,4,Dan,4
2005,7,113.l.199100,Heritage League,1,-- hidden --,2,Chris Gaul,7
2005,8,113.l.199100,Heritage League,0,Scott,7,-- hidden --,3
2005,8,113.l.199100,Heritage League,0,--hidden--,6,M Z,4
2005,8,113.l.199100,Heritage League,1,The Wizard,7,Nikolai Khabibulin,2
2005,8,113.l.199100,Heritage League,1,-- hidden --,1,Kevo,8
2005,8,113.l.199100,Heritage League,1,Dan,2,Chris Gaul,7
2005,9,113.l.199100,Heritage League,1,Scott,5,Chris Gaul,4
2005,9,113.l.199100,Heritage League,1,The Wizard,9,M Z,0
2005,9,113.l.199100,Heritage League,0,-- hidden --,2,Nikolai Khabibulin,8
2005,9,113.l.199100,Heritage League,1,Dan,3,Kevo,6
2005,10,113.l.199100,Heritage League,1,Scott,5,--hidden--,4
2005,10,113.l.199100,Heritage League,0,The Wizard,9,-- hidden --,1
2005,10,113.l.199100,Heritage League,0,-- hidden --,7,M Z,3
2005,10,113.l.199100,Heritage League,3,Dan,1,Nikolai Khabibulin,6
2005,10,113.l.199100,Heritage League,2,Kevo,2,Chris Gaul,6
2005,11,113.l.199100,Heritage League,1,Scott,3,The Wizard,6
2005,11,113.l.199100,Heritage League,1,--hidden--,5,Chris Gaul,4
2005,11,113.l.199100,Heritage League,2,-- hidden --,5,-- hidden --,3
2005,11,113.l.199100,Heritage League,1,Dan,8,M Z,1
2005,11,113.l.199100,Heritage League,1,Kevo,4,Nikolai Khabibulin,5
2005,12,113.l.199100,Heritage League,1,Scott,5,-- hidden --,4
2005,12,113.l.199100,Heritage League,0,--hidden--,3,The Wizard,7
2005,12,113.l.199100,Heritage League,1,Dan,5,-- hidden --,4
2005,12,113.l.199100,Heritage League,0,Kevo,3,M Z,7
2005,12,113.l.199100,Heritage League,0,Nikolai Khabibulin,5,Chris Gaul,5
2005,13,113.l.199100,Heritage League,0,Scott,6,Dan,4
2005,13,113.l.199100,Heritage League,1,--hidden--,6,-- hidden --,3
2005,13,113.l.199100,Heritage League,1,The Wizard,5,Chris Gaul,4
2005,13,113.l.199100,Heritage League,0,Kevo,7,-- hidden --,3
2005,13,113.l.199100,Heritage League,0,Nikolai Khabibulin,3,M Z,7
2005,14,113.l.199100,Heritage League,0,Scott,3,Kevo,7
2005,14,113.l.199100,Heritage League,0,--hidden--,7,Dan,3
2005,14,113.l.199100,Heritage League,0,The Wizard,7,-- hidden --,3
2005,14,113.l.199100,Heritage League,1,Nikolai Khabibulin,9,-- hidden --,0
2005,14,113.l.199100,Heritage League,0,M Z,4,Chris Gaul,6
2005,15,113.l.199100,Heritage League,0,Scott,0,Nikolai Khabibulin,10
2005,15,113.l.199100,Heritage League,1,--hidden--,4,Kevo,5
2005,15,113.l.199100,Heritage League,0,The Wizard,2,Dan,8
2005,15,113.l.199100,Heritage League,1,-- hidden --,2,Chris Gaul,7
2005,15,113.l.199100,Heritage League,0,M Z,6,-- hidden --,4
2005,16,113.l.199100,Heritage League,0,Scott,6,M Z,4
2005,16,113.l.199100,Heritage League,0,--hidden--,7,Nikolai Khabibulin,3
2005,16,113.l.199100,Heritage League,1,The Wizard,4,Kevo,5
2005,16,113.l.199100,Heritage League,2,-- hidden --,5,Dan,3
2005,16,113.l.199100,Heritage League,1,-- hidden --,5,Chris Gaul,4
2005,17,113.l.199100,Heritage League,0,Scott,7,-- hidden --,3
2005,17,113.l.199100,Heritage League,0,--hidden--,7,M Z,3
2005,17,113.l.199100,Heritage League,0,The Wizard,7,Nikolai Khabibulin,3
2005,17,113.l.199100,Heritage League,0,-- hidden --,3,Kevo,7
2005,17,113.l.199100,Heritage League,0,Dan,4,Chris Gaul,6
2005,18,113.l.199100,Heritage League,1,Scott,4,Chris Gaul,5
2005,18,113.l.199100,Heritage League,1,The Wizard,8,M Z,1
2005,18,113.l.199100,Heritage League,0,-- hidden --,3,Nikolai Khabibulin,7
2005,18,113.l.199100,Heritage League,0,Dan,5,Kevo,5
2005,19,113.l.199100,Heritage League,0,Scott,1,--hidden--,9
2005,19,113.l.199100,Heritage League,0,The Wizard,10,-- hidden --,0
2005,19,113.l.199100,Heritage League,1,-- hidden --,3,M Z,6
2005,19,113.l.199100,Heritage League,0,Dan,3,Nikolai Khabibulin,7
2005,19,113.l.199100,Heritage League,2,Kevo,2,Chris Gaul,6
2005,20,113.l.199100,Heritage League,0,Scott,6,The Wizard,4
2005,20,113.l.199100,Heritage League,0,--hidden--,7,Chris Gaul,3
2005,20,113.l.199100,Heritage League,1,-- hidden --,8,-- hidden --,1
2005,20,113.l.199100,Heritage League,1,Dan,6,M Z,3
2005,20,113.l.199100,Heritage League,1,Kevo,3,Nikolai Khabibulin,6
2005,21,113.l.199100,Heritage League,0,Scott,5,-- hidden --,5
2005,21,113.l.199100,Heritage League,1,--hidden--,3,The Wizard,6
2005,21,113.l.199100,Heritage League,1,Dan,5,-- hidden --,4
2005,21,113.l.199100,Heritage League,1,Kevo,4,M Z,5
2005,21,113.l.199100,Heritage League,0,Nikolai Khabibulin,2,Chris Gaul,8
2005,22,113.l.199100,Heritage League,1,Scott,5,Dan,4
2005,22,113.l.199100,Heritage League,1,--hidden--,7,-- hidden --,2
2005,22,113.l.199100,Heritage League,1,The Wizard,2,Chris Gaul,7
2005,22,113.l.199100,Heritage League,1,Kevo,8,-- hidden --,1
2005,22,113.l.199100,Heritage League,0,Nikolai Khabibulin,7,M Z,3
2005,23,113.l.199100,Heritage League,0,Scott,4,--hidden--,6
2005,23,113.l.199100,Heritage League,2,Kevo,3,Nikolai Khabibulin,5
2005,24,113.l.199100,Heritage League,1,Scott,8,Kevo,1
2005,24,113.l.199100,Heritage League,0,--hidden--,4,Chris Gaul,6
2005,24,113.l.199100,Heritage League,0,The Wizard,5,Nikolai Khabibulin,5
2005,24,113.l.199100,Heritage League,1,-- hidden --,7,M Z,2
2005,24,113.l.199100,Heritage League,0,Dan,7,-- hidden --,3
2005,25,113.l.199100,Heritage League,1,--hidden--,7,The Wizard,2
2005,25,113.l.199100,Heritage League,1,-- hidden --,8,Dan,1
2005,25,113.l.199100,Heritage League,0,Nikolai Khabibulin,7,Chris Gaul,3
2005,25,113.l.199100,Heritage League,0,M Z,10,-- hidden --,0
2005,1,113.l.232958,Pimps & Hos,2,Kevo,1,--hidden--,9
2005,1,113.l.232958,Pimps & Hos,0,-- hidden --,5,Nikolai Khabibulin,7
2005,1,113.l.232958,Pimps & Hos,1,The Wizard,4,-- hidden --,7
2005,1,113.l.232958,Pimps & Hos,1,Chris Gaul,5,-- hidden --,6
2005,1,113.l.232958,Pimps & Hos,0,-- hidden --,7,Weazy,5
2005,1,113.l.232958,Pimps & Hos,0,Brian,11,M Z,1
2005,2,113.l.232958,Pimps & Hos,0,Kevo,6,-- hidden --,6
2005,2,113.l.232958,Pimps & Hos,2,--hidden--,7,M Z,3
2005,2,113.l.232958,Pimps & Hos,1,The Wizard,3,Nikolai Khabibulin,8
2005,2,113.l.232958,Pimps & Hos,1,Chris Gaul,5,-- hidden --,6
2005,2,113.l.232958,Pimps & Hos,1,-- hidden --,7,-- hidden --,4
2005,2,113.l.232958,Pimps & Hos,1,Brian,2,Weazy,9
2005,3,113.l.232958,Pimps & Hos,2,Kevo,4,The Wizard,6
2005,3,113.l.232958,Pimps & Hos,1,Chris Gaul,3,Nikolai Khabibulin,8
2005,3,113.l.232958,Pimps & Hos,2,-- hidden --,5,-- hidden --,5
2005,3,113.l.232958,Pimps & Hos,1,Brian,0,-- hidden --,11
2005,3,113.l.232958,Pimps & Hos,1,Weazy,5,M Z,6
2005,4,113.l.232958,Pimps & Hos,0,Kevo,5,Chris Gaul,7
2005,4,113.l.232958,Pimps & Hos,0,--hidden--,8,The Wizard,4
2005,4,113.l.232958,Pimps & Hos,0,-- hidden --,11,M Z,1
2005,4,113.l.232958,Pimps & Hos,0,-- hidden --,2,Nikolai Khabibulin,10
2005,4,113.l.232958,Pimps & Hos,1,Brian,9,-- hidden --,2
2005,4,113.l.232958,Pimps & Hos,0,Weazy,10,-- hidden --,2
2005,5,113.l.232958,Pimps & Hos,1,Kevo,9,-- hidden --,2
2005,5,113.l.232958,Pimps & Hos,0,--hidden--,11,Chris Gaul,1
2005,5,113.l.232958,Pimps & Hos,1,-- hidden --,8,The Wizard,3
2005,5,113.l.232958,Pimps & Hos,0,Brian,4,Nikolai Khabibulin,8
2005,5,113.l.232958,Pimps & Hos,0,Weazy,12,-- hidden --,0
2005,5,113.l.232958,Pimps & Hos,0,-- hidden --,7,M Z,5
2005,6,113.l.232958,Pimps & Hos,0,Kevo,4,Brian,8
2005,6,113.l.232958,Pimps & Hos,0,--hidden--,11,-- hidden --,1
2005,6,113.l.232958,Pimps & Hos,1,-- hidden --,7,Chris Gaul,4
2005,6,113.l.232958,Pimps & Hos,2,The Wizard,3,M Z,7
2005,6,113.l.232958,Pimps & Hos,1,Weazy,2,Nikolai Khabibulin,9
2005,7,113.l.232958,Pimps & Hos,0,Kevo,9,Weazy,3
2005,7,113.l.232958,Pimps & Hos,1,--hidden--,5,Brian,6
